Month;Inflation_mean;Inflation_std;Inflation_p05;Inflation_p95;Unemployment_mean;Unemployment_std;Unemployment_p05;Unemployment_p95;TotalAdoption_mean;TotalAdoption_std;TotalAdoption_p05;TotalAdoption_p95;ExRate_mean;ExRate_std;ExRate_p05;ExRate_p95;MarketWage_mean;MarketWage_std;MarketWage_p05;MarketWage_p95;GovDebt_mean;GovDebt_std;GovDebt_p05;GovDebt_p95;NPL_mean;NPL_std;NPL_p05;NPL_p95;RefRate_mean;RefRate_std;RefRate_p05;RefRate_p95;PriceLevel_mean;PriceLevel_std;PriceLevel_p05;PriceLevel_p95;AutoRatio_mean;AutoRatio_std;AutoRatio_p05;AutoRatio_p95;HybridRatio_mean;HybridRatio_std;HybridRatio_p05;HybridRatio_p95;BPO_Auto_mean;BPO_Auto_std;BPO_Auto_p05;BPO_Auto_p95;Manuf_Auto_mean;Manuf_Auto_std;Manuf_Auto_p05;Manuf_Auto_p95;Retail_Auto_mean;Retail_Auto_std;Retail_Auto_p05;Retail_Auto_p95;Health_Auto_mean;Health_Auto_std;Health_Auto_p05;Health_Auto_p95;Public_Auto_mean;Public_Auto_std;Public_Auto_p05;Public_Auto_p95;Agri_Auto_mean;Agri_Auto_std;Agri_Auto_p05;Agri_Auto_p95;EffectiveBDP_mean;EffectiveBDP_std;EffectiveBDP_p05;EffectiveBDP_p95
1;0,013994;0,000022;0,013960;0,014025;0,002080;0,000000;0,002080;0,002080;0,000327;0,000173;0,000100;0,000600;4,330000;0,000000;4,330000;4,330000;8268,073113;0,000000;8268,073113;8268,073113;-77146674,808078;611,681776;-77147618,794077;-77145818,794077;0,023843;0,076995;0,000000;0,204216;0,033500;0,000000;0,033500;0,033500;0,999998;0,000006;0,999989;1,000007;0,000107;0,000096;0,000000;0,000300;0,000220;0,000156;0,000000;0,000500;0,001000;0,001528;0,000000;0,003333;0,000313;0,000504;0,000000;0,001251;0,000548;0,000362;0,000000;0,001111;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2;0,009754;0,000054;0,009675;0,009851;0,002070;0,000000;0,002070;0,002070;0,000683;0,000257;0,000300;0,001000;4,330000;0,000000;4,330000;4,330000;8269,949304;0,100510;8269,809408;8270,097137;-154321917,032536;9104,929035;-154336527,396959;-154308508,668799;0,041639;0,102252;0,000000;0,360671;0,032225;0,000000;0,032225;0,032225;0,999987;0,000017;0,999962;1,000016;0,000213;0,000141;0,000000;0,000400;0,000470;0,000218;0,000100;0,000800;0,002111;0,002507;0,000000;0,006667;0,000583;0,000624;0,000000;0,001876;0,001170;0,000459;0,000222;0,002000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
3;0,006743;0,000092;0,006606;0,006912;0,002070;0,000000;0,002070;0,002070;0,001093;0,000352;0,000500;0,001600;4,330000;0,000000;4,330000;4,330000;8271,610241;0,211477;8271,198732;8271,992643;-231522846,508082;22288,661787;-231560939,491575;-231484241,240554;0,047058;0,084648;0,000000;0,323414;0,031141;0,000000;0,031141;0,031141;0,999963;0,000031;0,999919;1,000021;0,000307;0,000186;0,000000;0,000600;0,000787;0,000262;0,000500;0,001200;0,002667;0,002906;0,000000;0,006667;0,001021;0,000920;0,000000;0,002502;0,001889;0,000711;0,000222;0,002889;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
4;0,004582;0,000142;0,004414;0,004834;0,002060;0,000000;0,002060;0,002060;0,001590;0,000547;0,000500;0,002400;4,330000;0,000000;4,330000;4,330000;8273,043549;0,349877;8272,449327;8273,749614;-308746257,456925;39717,150975;-308821985,164680;-308672152,484999;0,045712;0,083049;0,000000;0,325506;0,030220;0,000000;0,030220;0,030220;0,999925;0,000052;0,999859;1,000016;0,000417;0,000228;0,000000;0,000700;0,001173;0,000406;0,000500;0,001800;0,004222;0,004122;0,000000;0,013333;0,001584;0,000978;0,000000;0,003125;0,002689;0,001060;0,000222;0,004444;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
5;0,002996;0,000214;0,002716;0,003400;0,002059;0,000002;0,002050;0,002060;0,002187;0,000791;0,000500;0,003100;4,330000;0,000000;4,330000;4,330000;8274,200127;0,551344;8273,372545;8275,159469;-385993418,761060;62691,327157;-386115050,520528;-385874489,463345;0,042157;0,077712;0,000000;0,309230;0,029437;0,000000;0,029437;0,029437;0,999866;0,000082;0,999768;1,000021;0,000543;0,000300;0,000000;0,001000;0,001643;0,000610;0,000500;0,002400;0,007667;0,005972;0,000000;0,020000;0,002375;0,001465;0,000000;0,005000;0,003489;0,001388;0,000444;0,005556;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
6;0,001809;0,000298;0,001455;0,002411;0,002056;0,000005;0,002050;0,002060;0,002740;0,000927;0,000600;0,003801;4,330000;0,000000;4,330000;4,330000;8275,039481;0,870739;8274,037691;8276,539766;-463268719,121382;94410,701069;-463432466,629767;-463093927,070977;0,040198;0,067504;0,000000;0,274037;0,028771;0,000000;0,028771;0,028771;0,999786;0,000122;0,999640;1,000030;0,000653;0,000350;0,000000;0,001300;0,002087;0,000713;0,000600;0,003201;0,010783;0,007235;0,000000;0,026667;0,003167;0,001789;0,000000;0,006250;0,004230;0,001606;0,000889;0,006444;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
7;0,000890;0,000398;0,000407;0,001732;0,002064;0,000045;0,002050;0,002100;0,003411;0,001164;0,000600;0,005201;4,330000;0,000000;4,330000;4,330000;8275,571112;1,297953;8273,987994;8277,791195;-540561300,018372;128117,615724;-540791173,272523;-540329899,042401;0,038909;0,063428;0,000000;0,260335;0,028206;0,000000;0,028206;0,028206;0,999682;0,000173;0,999478;1,000042;0,000770;0,000412;0,000000;0,001500;0,002640;0,000901;0,000600;0,004001;0,013899;0,008480;0,000000;0,030000;0,003980;0,002101;0,000000;0,006875;0,005224;0,001991;0,000889;0,008002;0,000111;0,000416;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
8;0,000127;0,000529;-0,000536;0,001253;0,002187;0,000219;0,002040;0,002620;0,004124;0,001382;0,000700;0,006101;4,330000;0,000000;4,330000;4,330000;8275,751602;1,845072;8273,431982;8278,993130;-617849842,545336;143296,723536;-618087614,389115;-617582951,885722;0,029927;0,036560;0,002036;0,146839;0,027725;0,000000;0,027725;0,027725;0,999544;0,000241;0,999271;1,000053;0,000937;0,000486;0,000100;0,001900;0,003187;0,001053;0,000600;0,004801;0,017136;0,009110;0,003333;0,036667;0,004876;0,002221;0,001251;0,008750;0,006253;0,002359;0,000889;0,010004;0,000278;0,000621;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
9;-0,000556;0,000685;-0,001498;0,000919;0,002445;0,000405;0,002040;0,003140;0,004901;0,001563;0,000800;0,007201;4,330000;0,000000;4,330000;4,330000;8275,550150;2,509040;8272,359745;8280,264782;-695112608,105219;146993,903205;-695351674,439167;-694853847,934395;0,024303;0,025409;0,001661;0,043951;0,027316;0,000000;0,027316;0,027316;0,999365;0,000326;0,998959;1,000065;0,001107;0,000555;0,000100;0,002100;0,003794;0,001152;0,000700;0,005301;0,021365;0,009655;0,003333;0,036667;0,006252;0,002671;0,001876;0,011250;0,007209;0,002585;0,001333;0,011338;0,000278;0,000621;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
10;-0,001208;0,000855;-0,002446;0,000672;0,002785;0,000562;0,002030;0,003870;0,005808;0,001726;0,001201;0,008202;4,330000;0,000000;4,330000;4,330000;8274,947255;3,267219;8270,562989;8281,536631;-772333437,636768;167097,777512;-772581173,457912;-772075574,276648;0,023448;0,025338;0,002507;0,049030;0,026969;0,000000;0,026969;0,026969;0,999138;0,000428;0,998571;1,000073;0,001294;0,000631;0,000100;0,002500;0,004515;0,001230;0,001101;0,006103;0,025045;0,009961;0,003333;0,043333;0,007732;0,002834;0,001877;0,011875;0,008440;0,002887;0,002222;0,012895;0,000389;0,000826;0,000000;0,001667;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
